aX,aY,aZ,gX,gY,gZ
0.152,-0.211,0.952,1.160,0.427,12.939
0.169,-0.217,0.950,2.625,-0.061,12.268
0.160,-0.215,0.948,2.808,-0.488,12.268
0.151,-0.215,0.945,2.686,-1.099,12.451
0.157,-0.210,0.942,2.686,-1.648,11.780
0.161,-0.204,0.938,2.502,-2.563,10.376
0.163,-0.194,0.946,1.953,-3.479,8.972
0.159,-0.192,0.954,1.465,-4.211,8.057
0.145,-0.185,0.959,1.038,-4.944,7.690
0.139,-0.176,0.961,0.854,-4.822,7.019
0.144,-0.172,0.959,1.282,-4.089,6.165
0.151,-0.166,0.958,1.953,-3.540,5.249
0.162,-0.174,0.961,2.625,-2.686,4.578
0.165,-0.195,0.964,2.930,-2.380,4.272
0.161,-0.201,0.964,2.258,-2.258,3.967
0.160,-0.195,0.967,1.221,-1.831,3.235
0.165,-0.197,0.971,0.671,-1.099,2.258
0.165,-0.195,0.974,0.488,-0.854,1.343
0.166,-0.194,0.981,0.183,-0.671,0.427
0.159,-0.205,0.990,-0.122,-0.488,-0.244
0.150,-0.206,0.996,-0.793,-0.854,-0.549
0.151,-0.205,1.000,-1.465,-0.854,-1.038
0.155,-0.198,1.001,-1.831,-0.793,-1.282
0.153,-0.193,1.001,-1.587,-0.854,-1.221
0.151,-0.190,1.000,-0.854,-0.671,-0.916
0.151,-0.195,0.997,0.305,0.183,-0.244
0.154,-0.206,0.995,1.526,1.038,0.000
0.154,-0.221,0.992,1.648,1.831,-0.488
0.161,-0.230,0.989,0.610,2.502,-0.793
0.161,-0.228,0.985,-1.343,2.930,-0.854
0.160,-0.223,0.980,-2.808,3.296,-0.854
0.161,-0.217,0.976,-3.723,3.479,-1.038
0.165,-0.208,0.972,-3.967,3.418,-1.099
0.165,-0.196,0.967,-3.784,3.113,-1.099
0.169,-0.187,0.964,-3.113,2.991,-0.977
0.168,-0.190,0.960,-2.258,2.747,-0.427
0.167,-0.191,0.957,-1.465,2.563,0.305
0.169,-0.187,0.951,-1.343,2.747,0.854
0.177,-0.180,0.944,-1.099,2.869,0.916
0.181,-0.184,0.937,-0.854,3.113,0.671

-1.869,-0.451,1.176,19.043,-63.232,-49.683
-2.095,-0.499,1.291,26.428,-74.097,-86.426
-1.865,-0.662,1.369,27.527,-83.374,-110.413
-1.908,-0.735,1.407,21.912,-87.463,-108.521
-1.972,-0.937,1.415,13.672,-79.163,-81.970
-1.946,-1.021,1.385,1.160,-62.378,-58.411
-1.895,-0.958,1.318,-10.620,-40.466,-36.926
-1.829,-0.864,1.218,-14.648,-16.724,-12.512
-1.815,-0.750,1.112,-8.728,7.019,9.949
-1.761,-0.585,1.011,4.761,29.724,31.494
-1.648,-0.466,0.917,22.705,48.706,44.128
-1.548,-0.395,0.844,38.086,61.707,54.199
-1.487,-0.391,0.793,43.396,67.810,69.031
-1.424,-0.375,0.753,36.926,67.261,80.505
-1.359,-0.337,0.709,20.935,61.951,84.961
-1.304,-0.282,0.673,1.282,55.054,85.022
-1.223,-0.178,0.633,-16.785,50.415,82.886
-1.084,-0.039,0.599,-28.015,49.072,78.857
-0.914,0.082,0.585,-28.198,50.415,73.547
-0.728,0.136,0.589,-17.761,52.368,68.909
-0.558,0.088,0.588,-3.296,54.199,66.895
