aX,aY,aZ,gX,gY,gZ
-0.164,-0.253,-1.620,-0.671,71.777,-5.676
-0.094,-0.249,-1.545,-7.507,54.871,-2.869
-0.061,-0.195,-1.486,-15.442,38.086,0.000
-0.046,-0.121,-1.427,-20.142,24.292,3.113
-0.027,-0.099,-1.362,-18.921,15.137,4.456
-0.003,-0.104,-1.301,-14.221,10.193,2.991
0.022,-0.102,-1.263,-9.216,7.996,-0.183
0.043,-0.119,-1.224,-4.517,7.568,-3.235
0.069,-0.164,-1.188,-0.916,7.935,-6.104
0.077,-0.174,-1.173,0.366,8.911,-7.690
0.061,-0.182,-1.153,1.282,10.254,-7.629
0.047,-0.212,-1.130,1.160,11.658,-5.981
0.042,-0.229,-1.111,-1.404,13.000,-2.930
0.033,-0.223,-1.097,-5.310,13.977,-0.549
0.020,-0.204,-1.092,-8.423,13.855,1.465
-0.002,-0.159,-1.092,-9.583,13.672,2.869
-0.038,-0.125,-1.094,-7.812,13.245,2.686
-0.059,-0.130,-1.099,-2.808,13.245,1.465
-0.079,-0.127,-1.104,1.404,14.038,-0.549
-0.087,-0.129,-1.104,3.418,14.099,0.244
-0.087,-0.138,-1.100,3.174,13.245,1.831
-0.082,-0.137,-1.093,1.221,11.108,2.441
-0.071,-0.124,-1.084,-0.610,8.118,2.014
-0.072,-0.116,-1.077,-0.366,4.578,0.366
-0.062,-0.134,-1.060,1.038,1.526,-0.854
-0.029,-0.156,-1.039,2.136,-1.221,-1.587
-0.013,-0.157,-1.020,2.014,-4.211,-1.465
-0.015,-0.149,-1.009,1.099,-6.531,-0.793
-0.021,-0.134,-1.001,0.549,-7.812,0.061
-0.021,-0.121,-0.993,0.916,-7.629,0.916
-0.010,-0.110,-0.990,1.465,-6.409,1.526
-0.005,-0.107,-0.991,3.052,-4.761,0.977
0.001,-0.109,-0.989,4.883,-2.869,0.427
0.019,-0.127,-0.985,5.432,-1.709,0.183
0.040,-0.130,-0.981,4.639,-1.526,0.305
0.038,-0.125,-0.979,2.869,-1.831,0.916
0.023,-0.122,-0.978,1.221,-2.563,0.732
0.016,-0.120,-0.978,0.610,-2.380,0.061
0.014,-0.125,-0.979,0.916,-1.282,-0.671
0.011,-0.132,-0.979,1.221,0.061,-0.854
0.003,-0.127,-0.984,0.916,1.282,-0.183
-0.000,-0.121,-0.988,0.244,2.502,0.671
-0.006,-0.120,-0.991,0.305,3.479,1.404
-0.009,-0.120,-0.999,0.854,4.272,1.343
-0.016,-0.129,-1.003,1.709,4.761,0.671
-0.012,-0.137,-1.006,2.136,4.822,0.488
-0.010,-0.145,-1.008,1.404,4.028,0.916
-0.016,-0.143,-1.009,-0.061,2.686,1.770
-0.015,-0.135,-1.007,-2.380,1.099,2.319
-0.020,-0.128,-1.003,-5.249,-0.488,3.296
-0.029,-0.121,-0.998,-7.751,-1.831,3.052
-0.029,-0.120,-0.996,-10.315,-2.991,3.296
-0.026,-0.103,-0.996,-12.634,-3.967,2.625
-0.030,-0.099,-0.998,-12.878,-4.761,1.282
-0.030,-0.102,-0.997,-11.475,-5.554,-0.488
-0.031,-0.106,-0.995,-8.850,-5.920,-1.404
-0.030,-0.122,-0.994,-5.859,-5.737,-1.831
-0.024,-0.131,-0.992,-3.906,-5.371,-1.587
-0.020,-0.135,-0.993,-3.235,-4.822,-0.854
-0.014,-0.137,-0.993,-3.662,-4.333,0.671
-0.010,-0.133,-0.993,-4.517,-4.089,1.892
-0.009,-0.121,-0.995,-5.371,-3.540,2.136
-0.009,-0.116,-0.997,-5.188,-2.441,1.587
-0.008,-0.106,-0.998,-4.333,-1.099,0.366
-0.015,-0.106,-1.003,-3.113,-0.244,-0.427
-0.015,-0.118,-1.005,-1.465,0.610,-1.160
-0.010,-0.133,-1.005,-0.305,1.343,-1.709
-0.011,-0.141,-1.006,-0.610,1.648,-1.953
-0.009,-0.146,-1.008,-1.831,1.648,-1.648
-0.004,-0.150,-1.010,-2.991,1.465,-1.648
-0.007,-0.146,-1.012,-2.991,1.221,-2.136
-0.003,-0.145,-1.014,-1.953,1.099,-3.357

0.461,0.347,1.722,8.484,-27.527,18.921
0.502,0.263,1.750,15.259,6.531,12.451
0.561,0.212,1.742,10.986,35.339,6.592
0.594,0.232,1.708,-1.343,59.570,0.916
0.607,0.284,1.649,-15.198,81.116,-5.310
0.603,0.316,1.564,-26.489,101.685,-12.268
0.593,0.335,1.470,-33.264,123.047,-22.156
0.556,0.317,1.369,-37.292,145.630,-28.076
0.501,0.287,1.265,-39.368,169.739,-34.302
0.475,0.242,1.153,-39.673,195.129,-40.649
0.423,0.245,1.026,-38.086,219.971,-47.302
0.380,0.282,0.903,-32.104,244.202,-53.650
0.373,0.272,0.779,-20.386,267.212,-58.594
0.359,0.204,0.656,-5.127,288.940,-61.951
0.339,0.093,0.549,8.240,309.692,-63.354
0.315,-0.031,0.442,14.954,327.881,-62.622
0.289,-0.059,0.322,15.686,342.773,-61.829
0.215,-0.041,0.165,15.564,354.736,-62.134
0.183,0.046,-0.018,20.630,365.112,-61.829
-0.005,0.052,-0.222,35.645,375.183,-63.599
0.022,0.104,-0.426,61.035,385.559,-65.918
-0.026,-0.131,-0.561,91.064,398.926,-63.660
0.014,-0.359,-0.638,108.276,411.377,-61.890
-0.074,-0.513,-0.737,97.107,414.978,-43.640
-0.252,-0.509,-0.966,65.063,413.391,-21.362
-0.259,-0.439,-1.137,30.701,413.513,-5.432
-0.281,-0.361,-1.329,-0.610,401.550,11.230
-0.390,-0.162,-1.480,-23.315,382.019,21.606
-0.501,-0.088,-1.560,-29.663,363.220,22.583
-0.493,-0.115,-1.569,-27.954,343.994,19.348
-0.529,-0.131,-1.597,-28.992,323.669,16.785
-0.557,-0.081,-1.649,-31.006,303.650,10.376
-0.655,-0.009,-1.737,-28.625,284.851,2.991
-0.795,-0.033,-1.813,-19.226,272.400,-4.883
-0.789,-0.141,-1.829,-8.667,266.968,-11.353
-0.708,-0.228,-1.829,-5.981,259.277,-12.512
-0.640,-0.242,-1.819,-10.986,245.850,-8.118
-0.544,-0.239,-1.783,-17.273,225.708,-2.197
-0.438,-0.266,-1.735,-23.621,198.364,3.723
-0.379,-0.207,-1.713,-30.518,166.504,9.033
-0.323,-0.133,-1.673,-32.410,133.362,11.108
-0.259,-0.128,-1.608,-28.198,100.098,11.353
-0.247,-0.124,-1.546,-22.644,67.444,10.132
-0.255,-0.107,-1.485,-16.907,39.307,7.080
-0.252,-0.116,-1.414,-11.902,18.860,3.845
-0.245,-0.148,-1.343,-9.521,5.859,2.441
-0.216,-0.158,-1.290,-9.155,-0.488,1.038
-0.196,-0.151,-1.250,-9.583,-1.526,-0.061
-0.184,-0.133,-1.220,-9.155,0.061,-1.587
-0.162,-0.133,-1.196,-5.859,3.662,-3.235
-0.143,-0.149,-1.177,-0.977,9.094,-4.883
-0.128,-0.173,-1.167,2.808,14.465,-5.554
-0.112,-0.185,-1.154,4.761,18.738,-5.066
-0.089,-0.203,-1.138,4.395,20.569,-3.418
-0.073,-0.197,-1.127,1.221,19.653,-1.221
-0.079,-0.186,-1.117,-3.052,17.151,0.854
-0.085,-0.164,-1.112,-6.287,13.977,1.709
-0.116,-0.139,-1.112,-6.958,11.414,1.221
-0.157,-0.124,-1.110,-5.554,9.644,-0.183
-0.172,-0.125,-1.108,-2.625,8.484,-1.404
-0.168,-0.150,-1.098,0.000,7.812,-2.319
-0.167,-0.165,-1.093,1.465,6.958,-3.723
-0.159,-0.172,-1.086,1.465,5.371,-4.395
-0.149,-0.182,-1.073,0.977,2.808,-4.150
-0.130,-0.180,-1.063,0.732,0.000,-3.662
-0.119,-0.169,-1.056,0.854,-2.930,-3.601
-0.102,-0.174,-1.042,2.380,-5.310,-3.235
-0.093,-0.183,-1.029,3.601,-7.812,-2.258
-0.085,-0.182,-1.023,3.906,-9.766,-1.587
-0.085,-0.169,-1.024,3.540,-11.353,-0.854
-0.092,-0.163,-1.017,2.930,-12.207,0.183
-0.080,-0.157,-1.006,1.770,-12.695,1.770
-0.063,-0.148,-0.998,-0.183,-13.123,2.930
-0.049,-0.134,-0.990,-2.075,-13.184,3.296
-0.048,-0.114,-0.986,-3.540,-13.428,2.625
-0.053,-0.102,-0.978,-3.784,-12.756,1.160
-0.054,-0.111,-0.971,-2.441,-11.292,-0.793
-0.042,-0.123,-0.970,-0.854,-9.460,-2.441
-0.039,-0.137,-0.968,0.671,-7.446,-4.211
-0.045,-0.154,-0.966,1.343,-5.859,-4.822
-0.043,-0.160,-0.969,0.488,-4.822,-4.150
-0.044,-0.164,-0.970,-0.854,-4.211,-2.991
-0.050,-0.168,-0.973,-1.465,-3.479,-2.686
-0.054,-0.165,-0.973,-1.587,-2.197,-3.174
-0.054,-0.162,-0.977,-1.160,-0.916,-3.418
-0.060,-0.168,-0.974,-0.305,0.549,-3.052
-0.068,-0.170,-0.974,-0.244,1.526,-2.197
-0.072,-0.169,-0.973,-0.671,2.441,-1.343
-0.075,-0.170,-0.974,-0.916,3.601,-0.793
-0.078,-0.169,-0.976,-1.099,4.822,-0.366
-0.083,-0.161,-0.977,-1.160,5.859,-0.183
-0.079,-0.157,-0.981,-0.854,6.348,-0.183
-0.074,-0.153,-0.984,-0.061,6.836,-0.366
-0.071,-0.160,-0.985,0.977,6.897,-0.854
-0.072,-0.168,-0.994,1.892,6.470,-1.099
-0.075,-0.164,-0.996,2.197,5.737,-1.221
-0.078,-0.175,-0.995,2.380,4.700,-0.977
-0.084,-0.176,-0.998,2.014,3.906,-0.793
-0.089,-0.167,-1.001,1.465,3.723,-0.732
-0.088,-0.167,-1.003,1.282,3.784,-0.610
-0.085,-0.167,-1.002,1.343,3.906,-0.305
-0.090,-0.162,-1.002,1.221,3.845,-0.061
-0.093,-0.156,-1.002,1.465,4.211,-0.244
-0.092,-0.153,-1.000,1.709,4.333,-0.122
-0.090,-0.152,-1.003,1.953,4.456,-0.305
-0.089,-0.148,-1.006,2.380,4.700,-0.549
-0.083,-0.157,-1.005,2.869,5.127,-0.793
-0.072,-0.165,-1.007,2.686,5.249,-0.916
-0.071,-0.167,-1.009,2.625,4.944,-1.038
-0.074,-0.166,-1.008,2.136,4.272,-0.366
-0.084,-0.157,-1.010,1.038,3.601,0.732
-0.091,-0.146,-1.012,-0.061,3.113,1.282
-0.098,-0.138,-1.015,-0.427,3.174,1.099
-0.101,-0.140,-1.020,-0.122,3.296,0.061
-0.095,-0.150,-1.026,0.366,3.540,-0.610
-0.094,-0.162,-1.023,0.549,3.479,-1.099
-0.089,-0.175,-1.021,-0.183,2.747,-1.160
-0.088,-0.173,-1.016,-1.099,1.526,-0.793
-0.090,-0.166,-1.009,-2.380,0.122,-0.183

-0.460,-0.293,-1.947,26.123,-42.847,-12.451
-0.488,-0.309,-2.024,25.208,-67.627,-9.460
-0.559,-0.308,-2.103,25.574,-95.581,-5.554
-0.643,-0.285,-2.160,26.184,-124.146,-2.014
-0.694,-0.262,-2.197,28.442,-150.879,-0.061
-0.709,-0.255,-2.203,31.921,-175.903,1.953
-0.682,-0.260,-2.160,33.691,-201.294,5.493
-0.669,-0.265,-2.096,29.846,-227.783,10.986
-0.673,-0.228,-2.017,21.240,-254.211,17.578
-0.645,-0.175,-1.917,11.658,-279.541,23.560
-0.561,-0.140,-1.758,3.540,-303.223,27.954
-0.495,-0.130,-1.606,-3.174,-326.599,30.457
-0.483,-0.108,-1.448,-8.911,-347.046,31.067
-0.411,-0.142,-1.252,-12.024,-363.220,29.968
-0.325,-0.218,-1.076,-14.893,-377.258,28.076
-0.325,-0.260,-0.931,-19.775,-386.841,29.968
-0.288,-0.236,-0.815,-25.024,-391.479,33.081
-0.220,-0.173,-0.706,-26.306,-394.592,37.903
-0.199,-0.173,-0.599,-22.278,-396.423,45.288
-0.155,-0.163,-0.460,-13.855,-397.766,50.354
-0.109,-0.173,-0.325,-5.310,-398.865,55.969
-0.092,-0.123,-0.214,1.465,-398.987,60.974
-0.116,-0.076,-0.113,8.362,-398.071,64.270
-0.127,-0.018,-0.009,15.564,-393.372,66.772
-0.119,0.063,0.088,23.376,-386.353,67.261
-0.146,0.147,0.195,34.119,-376.709,61.523
-0.151,0.199,0.292,49.438,-362.305,51.453
-0.151,0.213,0.389,66.528,-341.736,35.950
-0.098,0.159,0.510,84.656,-317.566,15.137
